Ano;Branca ;Amarela ;Ignorada ;Indigena ;Parda ;Preta 
2002;44.06;0.41;27.17;0.12;20.04;8.20
2003;49.46;0.56;15.60;0.16;24.16;10.06
2004;48.39;0.54;12.33;0.15;27.44;11.15
2005;48.68;0.67;9.83;0.18;29.57;11.07
2006;49.24;0.60;9.35;0.22;29.94;10.65
2007;47.36;0.65;8.59;0.35;32.16;10.89
2008;47.30;0.45;8.35;0.25;33.00;10.66
2009;45.83;0.48;8.18;0.28;34.85;10.38
2010;45.85;0.48;7.50;0.35;35.77;10.05
2011;45.40;0.46;7.65;0.27;36.34;9.87
2012;44.30;0.49;6.53;0.33;38.64;9.72
2013;41.15;0.40;7.32;0.30;41.10;9.74
2014;39.93;0.40;6.76;0.27;42.91;9.73
2015;40.55;0.37;5.87;0.26;42.88;10.08
2016;38.10;0.25;4.54;0.41;47.46;9.23
2017;38.77;0.42;5.19;0.31;44.73;10.58